px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-19.5474	9.06894	4.75907	0.456061	-0.208164	-19.4861	8.96665	-19.3873	9.17499	4.64694	2.01891	0.0205128
-19.3007	9.1784	4.85986	0.422058	-0.296596	-18.5719	10.2069	-19.1542	9.27409	4.68278	1.94666	0.0346535
-19.0089	9.27732	4.97183	0.396273	-0.310366	-18.6786	9.19191	-18.9193	9.36959	4.71692	1.8751	0.0221239
-18.7919	9.35819	4.94879	0.369164	-0.346684	-19.2825	8.98189	-18.6827	9.46154	4.7494	1.80429	0.0346535
-18.5327	9.46445	5.01801	0.357233	-0.33652	-18.4242	9.46852	-18.4446	9.54996	4.78028	1.73429	0.0221239
-18.2676	9.48712	5.06525	0.27008	-0.532939	-18.1634	8.72444	-18.2049	9.63492	4.80959	1.66514	0.0346535
-17.959	9.63228	5.26597	0.277439	-0.474458	-17.7736	9.72478	-17.9639	9.71643	4.83737	1.59691	0.0221239
-17.7087	9.7403	5.22351	0.306266	-0.30683	-17.2296	9.97767	-17.7214	9.79457	4.86368	1.52964	0.0346535
-17.4308	9.84983	5.3076	0.30513	-0.281879	-17.3436	9.88109	-17.4777	9.86936	4.88856	1.46338	0.0221239
-17.1772	9.9343	5.32277	0.290923	-0.290757	-17.1554	10.212	-17.2328	9.94087	4.91205	1.39818	0.0346535
-16.9031	10.0587	5.40865	0.299818	-0.253585	-16.8876	10.145	-16.9868	10.0091	4.93421	1.33408	0.0221239
-16.6421	10.133	5.41336	0.282727	-0.2658	-16.5958	10.1078	-16.7396	10.0743	4.95507	1.27113	0.0346535
-16.4008	10.229	5.40439	0.281457	-0.248491	-16.5153	10.3091	-16.4915	10.1362	4.97469	1.20937	0.0221239
-16.1376	10.304	5.42843	0.261687	-0.280708	-16.09	10.5824	-16.2424	10.1952	4.99311	1.14883	0.0346535
-15.921	10.2987	5.27311	0.215145	-0.331129	-16.006	10.1843	-15.9924	10.2511	5.01039	1.08956	0.0221239
-15.672	10.3674	5.245	0.217165	-0.272348	-15.7234	10.41	-15.7416	10.3041	5.02655	1.03159	0.0346535
-15.4719	10.3319	5.05949	0.161328	-0.341954	-15.5699	10.1904	-15.4899	10.3543	5.04166	0.974957	0.0221239
-15.171	10.3588	5.22104	0.107428	-0.474411	-14.2385	10.9109	-15.2376	10.4016	5.05576	0.919692	0.0346535
-14.9085	10.4103	5.24931	0.097311	-0.451656	-14.9365	10.4722	-14.9846	10.4462	5.06889	0.865828	0.0221239
-14.6705	10.4461	5.09778	0.123515	-0.265171	-14.724	9.63507	-14.7309	10.4882	5.0811	0.813394	0.0346535
-14.4425	10.3942	4.98992	0.0656937	-0.341531	-14.4088	10.222	-14.4766	10.5276	5.09243	0.762418	0.0221239
-14.1845	10.4165	5.00335	0.0562964	-0.31964	-13.9005	10.5238	-14.2218	10.5645	5.10293	0.712926	0.0346535
-13.8509	10.6089	5.28087	0.143235	-0.140878	-13.8049	10.9383	-13.9665	10.5989	5.11263	0.664944	0.0254237
-13.5856	10.6827	5.27241	0.178504	-0.0185438	-13.3956	10.7857	-13.7107	10.631	5.12159	0.618496	0.0346535
-13.3518	10.671	5.18264	0.146354	-0.0674088	-13.3556	10.5517	-13.4545	10.6608	5.12983	0.573603	0.0254237
-13.0867	10.6914	5.22058	0.11767	-0.148193	-12.9374	10.8137	-13.1979	10.6884	5.13741	0.530288	0.0346535
-12.8291	10.7953	5.27323	0.147817	-0.0920206	-12.9591	11.0099	-12.9409	10.7138	5.14436	0.48857	0.0254237
-12.5564	10.8505	5.31261	0.150225	-0.0853766	-12.2518	11.2495	-12.6836	10.7373	5.15071	0.448467	0.0346535
-12.3412	10.7998	5.15497	0.101376	-0.15132	-12.3713	10.6091	-12.426	10.7587	5.15651	0.409997	0.0254237
-12.0815	10.8379	5.15534	0.107745	-0.109706	-11.9352	10.9161	-12.1681	10.7783	5.16179	0.373177	0.0346535
-11.8356	10.9069	5.16692	0.122945	-0.07822	-11.9451	11.0515	-11.91	10.7961	5.16658	0.338022	0.0254237
-11.5529	10.9277	5.22916	0.10402	-0.126785	-10.9703	10.9676	-11.6516	10.8121	5.17092	0.304546	0.0346535
-11.3348	10.9342	5.13456	0.0871758	-0.143305	-11.4548	10.9407	-11.393	10.8265	5.17484	0.272761	0.0254237
-11.0762	10.8538	5.20648	-0.0413289	-0.515626	-11.3472	10.5111	-11.1342	10.8394	5.17836	0.242681	0.0343348
-10.7777	10.8196	5.27097	-0.0756361	-0.526364	-10.6009	10.6823	-10.8753	10.8509	5.18153	0.214317	0.0254237
-10.5297	10.8151	5.20397	-0.0771478	-0.444142	-10.6563	10.8369	-10.6161	10.8609	5.18435	0.187679	0.0343348
-10.2998	10.7998	5.15149	-0.0981049	-0.444562	-10.4142	10.8747	-10.3569	10.8697	5.18687	0.162776	0.0254237
-10.0507	10.8637	5.01603	-0.0147757	-0.123592	-9.90413	11.2255	-10.0976	10.8772	5.1891	0.139618	0.0343348
-9.7827	10.9235	5.0798	0.0153675	-0.061799	-9.83445	11.1032	-9.83809	10.8837	5.19106	0.118212	0.0254237
-9.56481	10.8903	4.99884	-0.0141357	-0.113818	-10.195	10.3498	-9.57852	10.8891	5.19278	0.0985664	0.0343348
-9.29786	10.9262	5.05212	0.00191739	-0.0804	-9.3066	11.0348	-9.31887	10.8936	5.19428	0.0806865	0.0254237
-9.05897	10.8989	5.00812	-0.014866	-0.0932906	-9.2226	10.3527	-9.05915	10.8972	5.19557	0.0645787	0.0343348
-8.78627	10.9412	5.07559	0.00520365	-0.0565761	-8.78899	11.0707	-8.79937	10.9001	5.19667	0.050248	0.0254237
-8.55683	10.8877	5.00936	-0.031687	-0.119619	-8.83914	10.0319	-8.53953	10.9023	5.19759	0.0376992	0.0343348
-8.41395	10.796	4.75302	-0.08603	-0.190199	-8.62045	10.6577	-8.27965	10.9039	5.19835	0.0269359	0.0254237
-8.16502	10.8075	4.76285	-0.0654953	-0.11079	-7.91543	11.1157	-8.01974	10.905	5.19896	0.0179617	0.0343348
-7.79435	10.8809	5.06992	-0.0123993	-0.0149249	-7.51971	11.0005	-7.75979	10.9057	5.19942	0.0107791	0.0282258
-7.52755	10.8818	5.08452	0.00122065	0.0360243	-7.25987	10.6458	-7.49981	10.9061	5.19975	0.00539029	0.0343348
-7.24713	10.8778	5.13704	0.00260423	0.0353028	-7.15631	10.815	-7.23983	10.9063	5.19994	0.00179692	0.0282258
-7.00811	10.9095	5.08631	0.0403613	0.146882	-7.39396	11.0181	-6.97983	10.9064	5.2	-7.84874e-15	0.0343348
